product_id,platform,units,revenue,ad_units,ad_revenue
S530,Mailchimp,386,10084.5,386,10084.5
A200,YouTube,806,19250.0,806,19250.0
B410,X,486,12891.2,486,12891.2
B400,GoogleAds,337,10459.2,337,10459.2
A200,GoogleAds,753,18031.25,753,18031.25
H310,GoogleAds,604,39588.75,604,39588.75
E110,Instagram,313,44580.8,313,44580.8
A210,Mailchimp,517,22401.0,517,22401.0
S500,GoogleAds,886,167667.45,886,167667.45
B430,LinkedIn,560,10146.95,560,10146.95
A220,LinkedIn,388,20471.0,388,20471.0
E110,GoogleAds,378,53185.55,378,53185.55
A230,X,350,31758.5,350,31758.5
E100,Mailchimp,378,28850.8,378,28850.8
A220,Mailchimp,400,21309.75,400,21309.75
H310,X,566,37360.05,566,37360.05
B420,Mailchimp,544,12327.6,544,12327.6
A200,Mailchimp,659,15560.0,659,15560.0
E120,X,315,29972.25,315,29972.25
S520,Mailchimp,868,14627.7,868,14627.7
A220,GoogleAds,462,23743.5,462,23743.5
H300,LinkedIn,285,7863.35,285,7863.35
S530,X,393,10316.7,393,10316.7
A210,YouTube,608,26023.5,608,26023.5
A210,GoogleAds,583,25386.75,583,25386.75
E110,LinkedIn,322,46808.35,322,46808.35
B430,X,558,10234.35,558,10234.35
E110,Mailchimp,324,46003.75,324,46003.75
B410,GoogleAds,601,16315.6,601,16315.6
B430,GoogleAds,627,11512.1,627,11512.1
S500,X,931,180453.2,931,180453.2
H300,GoogleAds,308,8536.15,308,8536.15
S510,GoogleAds,364,7627.4,364,7627.4
E100,YouTube,430,32737.6,430,32737.6
E120,LinkedIn,309,29546.55,309,29546.55
E100,X,372,27484.1,372,27484.1
H330,X,445,56192.4,445,56192.4
H300,X,281,7740.1,281,7740.1
H300,YouTube,275,7586.4,275,7586.4
B420,YouTube,441,9932.4,441,9932.4
A210,LinkedIn,540,23310.0,540,23310.0
E100,LinkedIn,390,29538.1,390,29538.1
E120,GoogleAds,340,32293.8,340,32293.8
S510,LinkedIn,339,6899.2,339,6899.2
H330,LinkedIn,405,49684.35,405,49684.35
S510,Mailchimp,374,7870.5,374,7870.5
S530,LinkedIn,358,9282.6,358,9282.6
A230,Mailchimp,327,30181.5,327,30181.5
H320,Mailchimp,491,16513.0,491,16513.0
B400,Mailchimp,307,9505.6,307,9505.6
