order_id,order_date,channel,platform,ad_assisted,attribution_type,product_id,product_name,category,unit_price,quantity,discount_rate,revenue,cogs,margin,device,region,customer_id,returned
O100013,2025-01-01,website,Organic,0,organic,A200,Athletic T-Shirt,Apparel,25.0,3,0.0,75.0,34.5,40.5,mobile,APAC,C32421,0
O100014,2025-01-01,social,LinkedIn,1,click,B420,SPF Sunscreen,Beauty,24.0,2,0.05,45.6,24.96,20.64,mobile,US,C69039,0
O100015,2025-01-01,website,Organic,0,organic,A200,Athletic T-Shirt,Apparel,25.0,1,0.0,25.0,11.5,13.5,mobile,LATAM,C83653,0
O100016,2025-01-01,website,Organic,0,organic,A210,Yoga Pants,Apparel,45.0,4,0.0,180.0,84.6,95.4,desktop,EU,C83652,0
O100017,2025-01-01,social,Instagram,1,click,S500,Adjustable Dumbbells,Sports,199.0,1,0.0,199.0,99.5,99.5,desktop,APAC,C23005,0
O100018,2025-01-01,website,Organic,0,organic,S520,Foam Roller,Sports,18.0,1,0.15,15.3,8.46,6.84,mobile,US,C36593,0
O100019,2025-01-01,social,LinkedIn,1,click,E130,USB-C Hub,Electronics,39.0,1,0.0,39.0,15.6,23.4,tablet,US,C95336,0
O100020,2025-01-01,website,Organic,0,organic,E100,Wireless Earbuds,Electronics,79.0,3,0.0,237.0,139.83,97.17,mobile,APAC,C18430,0
O100021,2025-01-01,website,Organic,0,organic,B430,Hair Oil,Beauty,19.0,1,0.15,16.15,9.69,6.46,tablet,US,C98970,0
O100022,2025-01-01,email,Mailchimp,1,click,B410,Moisturizer,Beauty,28.0,1,0.0,28.0,14.56,13.44,mobile,US,C91585,0
O100023,2025-01-01,social,LinkedIn,1,click,B410,Moisturizer,Beauty,28.0,1,0.0,28.0,14.56,13.44,mobile,US,C18503,0
O100024,2025-01-01,website,Organic,0,organic,E100,Wireless Earbuds,Electronics,79.0,1,0.0,79.0,46.61,32.39,mobile,APAC,C21088,0
O100025,2025-01-01,website,Organic,0,organic,S500,Adjustable Dumbbells,Sports,199.0,1,0.0,199.0,99.5,99.5,desktop,EU,C23924,0
O100026,2025-01-01,paid,GoogleAds,1,click,S520,Foam Roller,Sports,18.0,1,0.0,18.0,8.46,9.54,mobile,US,C58814,0
O100027,2025-01-01,email,Mailchimp,1,click,E120,Bluetooth Speaker,Electronics,99.0,1,0.0,0.0,40.59,-58.41,tablet,EU,C12029,1
O100028,2025-01-01,website,Organic,0,organic,H310,Weighted Blanket,Home,69.0,2,0.0,138.0,80.04,57.96,desktop,LATAM,C51300,0
O100029,2025-01-01,social,LinkedIn,1,click,B410,Moisturizer,Beauty,28.0,1,0.1,25.2,14.56,10.64,desktop,US,C49679,0
O100030,2025-01-01,social,Instagram,1,click,S530,Cycling Gloves,Sports,27.0,1,0.0,27.0,15.93,11.07,desktop,LATAM,C37385,0
O100031,2025-01-01,website,Organic,0,organic,E120,Bluetooth Speaker,Electronics,99.0,1,0.0,99.0,40.59,58.41,desktop,EU,C53185,0
O100032,2025-01-01,website,Organic,0,organic,H300,Aroma Diffuser,Home,29.0,1,0.0,29.0,12.18,16.82,tablet,APAC,C96345,0
O100033,2025-01-01,social,Instagram,1,click,S520,Foam Roller,Sports,18.0,2,0.0,36.0,16.92,19.08,tablet,LATAM,C37686,0
O100034,2025-01-01,website,Organic,0,organic,B430,Hair Oil,Beauty,19.0,1,0.15,16.15,9.69,6.46,tablet,APAC,C77389,0
O100035,2025-01-01,social,YouTube,1,view,H320,LED Desk Lamp,Home,35.0,1,0.15,29.75,13.3,16.45,mobile,EU,C53064,0
O100036,2025-01-01,website,Organic,0,organic,E130,USB-C Hub,Electronics,39.0,1,0.0,39.0,15.6,23.4,desktop,LATAM,C86880,0
O100037,2025-01-01,social,YouTube,1,click,H320,LED Desk Lamp,Home,35.0,1,0.0,35.0,13.3,21.7,mobile,EU,C84812,0
O100038,2025-01-01,social,Instagram,1,click,E130,USB-C Hub,Electronics,39.0,1,0.0,39.0,15.6,23.4,mobile,APAC,C47349,0
O100039,2025-01-01,social,YouTube,1,click,E130,USB-C Hub,Electronics,39.0,1,0.0,39.0,15.6,23.4,tablet,US,C81488,0
O100040,2025-01-01,website,Organic,0,organic,A210,Yoga Pants,Apparel,45.0,1,0.0,45.0,21.15,23.85,mobile,LATAM,C27635,0
O100041,2025-01-01,social,X,1,click,A220,Hoodie,Apparel,55.0,1,0.1,49.5,30.8,18.7,tablet,US,C56510,0
O100042,2025-01-01,social,YouTube,1,click,H320,LED Desk Lamp,Home,35.0,1,0.0,35.0,13.3,21.7,tablet,US,C31765,0
O100043,2025-01-01,website,Organic,0,organic,S530,Cycling Gloves,Sports,27.0,1,0.0,27.0,15.93,11.07,tablet,EU,C79620,0
O100044,2025-01-01,paid,GoogleAds,1,click,E100,Wireless Earbuds,Electronics,79.0,1,0.0,79.0,46.61,32.39,tablet,EU,C96144,0
O100045,2025-01-01,social,LinkedIn,1,view,S500,Adjustable Dumbbells,Sports,199.0,1,0.1,179.1,99.5,79.6,desktop,US,C51205,0
O100046,2025-01-01,social,Instagram,1,click,E130,USB-C Hub,Electronics,39.0,1,0.0,39.0,15.6,23.4,tablet,EU,C59708,0
O100047,2025-01-01,website,Organic,0,organic,E100,Wireless Earbuds,Electronics,79.0,2,0.0,158.0,93.22,64.78,tablet,US,C77154,0
O100048,2025-01-01,website,Organic,0,organic,S530,Cycling Gloves,Sports,27.0,1,0.0,27.0,15.93,11.07,desktop,US,C35909,0
O100049,2025-01-01,website,Organic,0,organic,B430,Hair Oil,Beauty,19.0,1,0.0,19.0,9.69,9.31,mobile,EU,C70903,0
O100050,2025-01-01,social,Instagram,1,click,B430,Hair Oil,Beauty,19.0,1,0.0,19.0,9.69,9.31,tablet,APAC,C52352,0
O100051,2025-01-01,paid,GoogleAds,1,click,H330,Air Purifier,Home,129.0,1,0.0,129.0,77.4,51.6,desktop,LATAM,C56931,0
O100052,2025-01-01,social,YouTube,1,click,A220,Hoodie,Apparel,55.0,1,0.0,55.0,30.8,24.2,mobile,EU,C76614,0
O100053,2025-01-01,social,Instagram,1,click,B400,Vitamin C Serum,Beauty,32.0,1,0.0,32.0,16.32,15.68,desktop,US,C31128,0
O100054,2025-01-01,social,Instagram,1,click,S530,Cycling Gloves,Sports,27.0,1,0.0,27.0,15.93,11.07,mobile,US,C57043,0
O100055,2025-01-01,social,YouTube,1,click,S500,Adjustable Dumbbells,Sports,199.0,1,0.0,199.0,99.5,99.5,desktop,EU,C18374,0
O100056,2025-01-01,social,LinkedIn,1,click,B420,SPF Sunscreen,Beauty,24.0,1,0.0,24.0,12.48,11.52,mobile,LATAM,C32138,0
O100057,2025-01-01,website,Organic,0,organic,B410,Moisturizer,Beauty,28.0,1,0.0,28.0,14.56,13.44,mobile,EU,C67747,0
O100058,2025-01-01,website,Organic,0,organic,B410,Moisturizer,Beauty,28.0,1,0.0,28.0,14.56,13.44,mobile,APAC,C28875,0
O100059,2025-01-01,social,YouTube,1,click,S510,Resistance Bands Set,Sports,22.0,1,0.0,22.0,8.14,13.86,tablet,APAC,C99269,0
O100060,2025-01-01,website,Organic,0,organic,H320,LED Desk Lamp,Home,35.0,2,0.0,70.0,26.6,43.4,mobile,US,C63436,0
O100061,2025-01-01,website,Organic,1,click,S500,Adjustable Dumbbells,Sports,199.0,3,0.1,537.3,298.5,238.8,desktop,LATAM,C80215,0
O100062,2025-01-01,website,Organic,0,organic,H320,LED Desk Lamp,Home,35.0,1,0.0,35.0,13.3,21.7,tablet,US,C84689,0
O100063,2025-01-01,email,Mailchimp,1,click,B430,Hair Oil,Beauty,19.0,1,0.0,19.0,9.69,9.31,tablet,APAC,C52477,0
O100064,2025-01-01,website,Organic,0,organic,S500,Adjustable Dumbbells,Sports,199.0,1,0.0,199.0,99.5,99.5,desktop,US,C52676,0
O100065,2025-01-01,social,Instagram,1,click,S520,Foam Roller,Sports,18.0,1,0.15,15.3,8.46,6.84,mobile,APAC,C64132,0
O100066,2025-01-01,website,Organic,0,organic,A200,Athletic T-Shirt,Apparel,25.0,1,0.0,25.0,11.5,13.5,mobile,US,C85207,0
O100067,2025-01-01,website,Organic,0,organic,E110,Smart Watch,Electronics,149.0,1,0.0,0.0,78.97,-70.03,desktop,US,C68572,1
O100068,2025-01-01,email,Mailchimp,1,click,B430,Hair Oil,Beauty,19.0,1,0.05,18.05,9.69,8.36,desktop,EU,C36234,0
O100069,2025-01-01,website,Organic,0,organic,B430,Hair Oil,Beauty,19.0,4,0.0,76.0,38.76,37.24,tablet,APAC,C71140,0
O100070,2025-01-01,website,Organic,0,organic,A200,Athletic T-Shirt,Apparel,25.0,1,0.0,25.0,11.5,13.5,mobile,US,C89399,0
O100071,2025-01-01,website,Organic,0,organic,B410,Moisturizer,Beauty,28.0,1,0.0,28.0,14.56,13.44,desktop,LATAM,C81569,0
O100072,2025-01-01,website,Organic,0,organic,S520,Foam Roller,Sports,18.0,1,0.0,18.0,8.46,9.54,tablet,US,C24130,0
O100073,2025-01-01,social,YouTube,1,click,E120,Bluetooth Speaker,Electronics,99.0,1,0.0,99.0,40.59,58.41,mobile,LATAM,C43633,0
O100074,2025-01-01,social,X,1,click,B420,SPF Sunscreen,Beauty,24.0,1,0.0,24.0,12.48,11.52,mobile,US,C41000,0
O100075,2025-01-01,social,LinkedIn,1,view,B400,Vitamin C Serum,Beauty,32.0,2,0.0,64.0,32.64,31.36,tablet,APAC,C87089,0
O100076,2025-01-01,website,Organic,0,organic,B420,SPF Sunscreen,Beauty,24.0,1,0.05,22.8,12.48,10.32,desktop,APAC,C10977,0
O100077,2025-01-01,social,LinkedIn,1,click,A230,Running Shoes,Apparel,95.0,4,0.0,380.0,155.8,224.2,tablet,EU,C78464,0
O100078,2025-01-01,social,Instagram,1,click,B420,SPF Sunscreen,Beauty,24.0,1,0.0,24.0,12.48,11.52,mobile,EU,C11138,0
O100079,2025-01-01,email,Mailchimp,1,click,S500,Adjustable Dumbbells,Sports,199.0,1,0.0,199.0,99.5,99.5,mobile,APAC,C94388,0
O100080,2025-01-01,website,Organic,0,organic,A210,Yoga Pants,Apparel,45.0,1,0.0,45.0,21.15,23.85,tablet,EU,C22160,0
O100081,2025-01-01,social,Instagram,1,click,E120,Bluetooth Speaker,Electronics,99.0,1,0.15,84.15,40.59,43.56,tablet,APAC,C43725,0
O100082,2025-01-01,website,Organic,0,organic,E130,USB-C Hub,Electronics,39.0,1,0.0,39.0,15.6,23.4,tablet,US,C44521,0
O100083,2025-01-01,website,Organic,0,organic,S520,Foam Roller,Sports,18.0,1,0.0,18.0,8.46,9.54,tablet,APAC,C19514,0
O100084,2025-01-01,website,Organic,0,organic,E130,USB-C Hub,Electronics,39.0,4,0.0,156.0,62.4,93.6,desktop,LATAM,C87486,0
O100085,2025-01-01,social,YouTube,1,click,H320,LED Desk Lamp,Home,35.0,1,0.0,35.0,13.3,21.7,desktop,US,C65719,0
O100086,2025-01-01,social,LinkedIn,1,click,A230,Running Shoes,Apparel,95.0,1,0.0,95.0,38.95,56.05,desktop,APAC,C25618,0
O100087,2025-01-01,website,Organic,0,organic,H320,LED Desk Lamp,Home,35.0,1,0.0,35.0,13.3,21.7,desktop,LATAM,C77371,0
O100088,2025-01-01,website,Organic,0,organic,S520,Foam Roller,Sports,18.0,1,0.0,18.0,8.46,9.54,desktop,US,C69450,0
O100089,2025-01-01,website,Organic,0,organic,S530,Cycling Gloves,Sports,27.0,1,0.0,27.0,15.93,11.07,tablet,APAC,C33914,0
O100090,2025-01-01,website,Organic,0,organic,S500,Adjustable Dumbbells,Sports,199.0,3,0.05,567.15,298.5,268.65,mobile,APAC,C62081,0
O100091,2025-01-01,website,Organic,0,organic,E110,Smart Watch,Electronics,149.0,1,0.0,149.0,78.97,70.03,tablet,US,C77706,0
O100092,2025-01-01,website,Organic,0,organic,A210,Yoga Pants,Apparel,45.0,1,0.0,45.0,21.15,23.85,mobile,APAC,C66179,0
O100093,2025-01-01,social,Instagram,1,view,H300,Aroma Diffuser,Home,29.0,1,0.0,29.0,12.18,16.82,tablet,LATAM,C12055,0
O100094,2025-01-01,website,Organic,0,organic,A210,Yoga Pants,Apparel,45.0,1,0.0,45.0,21.15,23.85,tablet,US,C55589,0
O100095,2025-01-01,website,Organic,1,view,H310,Weighted Blanket,Home,69.0,1,0.0,69.0,40.02,28.98,tablet,APAC,C25011,0
O100096,2025-01-01,social,Instagram,1,click,S520,Foam Roller,Sports,18.0,1,0.0,18.0,8.46,9.54,tablet,APAC,C66390,0
O100097,2025-01-01,social,Instagram,1,view,B400,Vitamin C Serum,Beauty,32.0,1,0.0,32.0,16.32,15.68,mobile,US,C91665,0
O100098,2025-01-01,social,Instagram,1,view,A200,Athletic T-Shirt,Apparel,25.0,1,0.0,25.0,11.5,13.5,mobile,EU,C48677,0
O100099,2025-01-01,website,Organic,0,organic,E130,USB-C Hub,Electronics,39.0,1,0.05,37.05,15.6,21.45,tablet,LATAM,C39055,0
O100100,2025-01-01,website,Organic,0,organic,S520,Foam Roller,Sports,18.0,1,0.05,17.1,8.46,8.64,mobile,LATAM,C39656,0
O100101,2025-01-01,social,YouTube,1,click,E130,USB-C Hub,Electronics,39.0,1,0.0,39.0,15.6,23.4,tablet,US,C24762,0
O100102,2025-01-01,website,Organic,0,organic,E120,Bluetooth Speaker,Electronics,99.0,1,0.0,99.0,40.59,58.41,desktop,APAC,C69811,0
O100103,2025-01-01,social,Instagram,1,click,S510,Resistance Bands Set,Sports,22.0,1,0.0,22.0,8.14,13.86,tablet,US,C86238,0
O100104,2025-01-01,website,Organic,0,organic,E110,Smart Watch,Electronics,149.0,1,0.0,149.0,78.97,70.03,tablet,APAC,C20700,0
O100105,2025-01-01,website,Organic,0,organic,A220,Hoodie,Apparel,55.0,1,0.0,55.0,30.8,24.2,tablet,US,C61576,0
O100106,2025-01-01,website,Organic,0,organic,B410,Moisturizer,Beauty,28.0,1,0.0,28.0,14.56,13.44,tablet,US,C41381,0
O100107,2025-01-01,website,Organic,0,organic,E110,Smart Watch,Electronics,149.0,1,0.0,0.0,78.97,-70.03,mobile,LATAM,C52560,1
O100108,2025-01-01,social,YouTube,1,click,H310,Weighted Blanket,Home,69.0,1,0.05,65.55,40.02,25.53,desktop,US,C12311,0
O100109,2025-01-01,social,LinkedIn,1,view,B410,Moisturizer,Beauty,28.0,1,0.0,28.0,14.56,13.44,mobile,EU,C91719,0
O100110,2025-01-01,social,YouTube,1,click,S500,Adjustable Dumbbells,Sports,199.0,2,0.0,0.0,199.0,-199.0,tablet,APAC,C49712,1
O100111,2025-01-01,website,Organic,0,organic,A220,Hoodie,Apparel,55.0,1,0.0,55.0,30.8,24.2,mobile,APAC,C23941,0
O100112,2025-01-01,website,Organic,0,organic,A220,Hoodie,Apparel,55.0,1,0.0,55.0,30.8,24.2,desktop,EU,C74926,0
O100113,2025-01-01,website,Organic,0,organic,H310,Weighted Blanket,Home,69.0,1,0.0,69.0,40.02,28.98,desktop,US,C30631,0
O100114,2025-01-01,website,Organic,0,organic,S520,Foam Roller,Sports,18.0,1,0.0,18.0,8.46,9.54,tablet,EU,C38298,0
O100115,2025-01-01,social,LinkedIn,1,click,H320,LED Desk Lamp,Home,35.0,1,0.05,33.25,13.3,19.95,desktop,EU,C21673,0
O100116,2025-01-01,website,Organic,0,organic,S530,Cycling Gloves,Sports,27.0,1,0.15,22.95,15.93,7.02,tablet,APAC,C99379,0
O100117,2025-01-01,social,Instagram,1,click,B430,Hair Oil,Beauty,19.0,1,0.0,19.0,9.69,9.31,tablet,LATAM,C70927,0
O100118,2025-01-01,website,Organic,0,organic,S520,Foam Roller,Sports,18.0,1,0.0,18.0,8.46,9.54,tablet,EU,C94865,0
O100119,2025-01-01,social,YouTube,1,click,S500,Adjustable Dumbbells,Sports,199.0,1,0.0,199.0,99.5,99.5,tablet,US,C77161,0
O100120,2025-01-01,website,Organic,0,organic,S530,Cycling Gloves,Sports,27.0,1,0.0,27.0,15.93,11.07,tablet,EU,C80423,0
O100121,2025-01-01,website,Organic,0,organic,E110,Smart Watch,Electronics,149.0,1,0.0,149.0,78.97,70.03,desktop,LATAM,C14494,0
O100122,2025-01-01,website,Organic,0,organic,E100,Wireless Earbuds,Electronics,79.0,2,0.0,158.0,93.22,64.78,desktop,US,C95473,0
O100123,2025-01-01,social,Instagram,1,click,H300,Aroma Diffuser,Home,29.0,1,0.0,29.0,12.18,16.82,mobile,EU,C59312,0
O100124,2025-01-01,website,Organic,0,organic,E130,USB-C Hub,Electronics,39.0,1,0.0,39.0,15.6,23.4,desktop,APAC,C75788,0
O100125,2025-01-01,website,Organic,0,organic,B410,Moisturizer,Beauty,28.0,1,0.0,28.0,14.56,13.44,tablet,EU,C89048,0
O100126,2025-01-01,website,Organic,0,organic,S530,Cycling Gloves,Sports,27.0,1,0.1,24.3,15.93,8.37,tablet,EU,C69668,0
O100127,2025-01-01,website,Organic,0,organic,A210,Yoga Pants,Apparel,45.0,1,0.0,45.0,21.15,23.85,desktop,US,C45892,0
O100128,2025-01-01,social,X,1,click,B400,Vitamin C Serum,Beauty,32.0,1,0.0,32.0,16.32,15.68,tablet,LATAM,C70951,0
O100129,2025-01-01,website,Organic,0,organic,S530,Cycling Gloves,Sports,27.0,1,0.0,27.0,15.93,11.07,tablet,LATAM,C56518,0
O100130,2025-01-01,social,YouTube,1,view,S530,Cycling Gloves,Sports,27.0,1,0.15,22.95,15.93,7.02,desktop,LATAM,C61722,0
O100131,2025-01-01,website,Organic,0,organic,H310,Weighted Blanket,Home,69.0,1,0.0,69.0,40.02,28.98,tablet,LATAM,C34032,0
O100132,2025-01-01,social,Instagram,1,click,E100,Wireless Earbuds,Electronics,79.0,1,0.0,79.0,46.61,32.39,tablet,APAC,C13332,0
O100133,2025-01-01,social,Instagram,1,click,S520,Foam Roller,Sports,18.0,1,0.0,18.0,8.46,9.54,tablet,EU,C23566,0
O100134,2025-01-01,social,Instagram,1,view,H310,Weighted Blanket,Home,69.0,1,0.0,69.0,40.02,28.98,mobile,APAC,C46248,0
O100135,2025-01-01,social,Instagram,1,click,B410,Moisturizer,Beauty,28.0,1,0.0,28.0,14.56,13.44,mobile,LATAM,C23948,0
O100136,2025-01-01,website,Organic,0,organic,S520,Foam Roller,Sports,18.0,1,0.0,18.0,8.46,9.54,desktop,US,C51791,0
O100137,2025-01-01,social,LinkedIn,1,view,B410,Moisturizer,Beauty,28.0,4,0.0,112.0,58.24,53.76,mobile,US,C63571,0
O100138,2025-01-01,social,Instagram,1,click,S510,Resistance Bands Set,Sports,22.0,1,0.0,22.0,8.14,13.86,desktop,LATAM,C98247,0
O100139,2025-01-01,website,Organic,0,organic,B410,Moisturizer,Beauty,28.0,4,0.0,112.0,58.24,53.76,tablet,EU,C97488,0
O100140,2025-01-01,social,Instagram,1,click,B420,SPF Sunscreen,Beauty,24.0,1,0.0,24.0,12.48,11.52,desktop,US,C96611,0
O100141,2025-01-01,social,YouTube,1,view,E120,Bluetooth Speaker,Electronics,99.0,1,0.0,99.0,40.59,58.41,tablet,EU,C23614,0
O100142,2025-01-01,website,Organic,0,organic,A210,Yoga Pants,Apparel,45.0,1,0.0,45.0,21.15,23.85,tablet,US,C60075,0
O100143,2025-01-01,website,Organic,0,organic,E130,USB-C Hub,Electronics,39.0,1,0.0,39.0,15.6,23.4,mobile,LATAM,C71963,0
O100144,2025-01-01,website,Organic,0,organic,A200,Athletic T-Shirt,Apparel,25.0,1,0.0,25.0,11.5,13.5,desktop,EU,C14722,0
O100145,2025-01-01,website,Organic,0,organic,B400,Vitamin C Serum,Beauty,32.0,1,0.0,32.0,16.32,15.68,mobile,LATAM,C65604,0
O100146,2025-01-01,website,Organic,0,organic,A200,Athletic T-Shirt,Apparel,25.0,1,0.0,25.0,11.5,13.5,desktop,US,C47145,0
O100147,2025-01-01,website,Organic,0,organic,S500,Adjustable Dumbbells,Sports,199.0,4,0.0,796.0,398.0,398.0,tablet,APAC,C42767,0
O100148,2025-01-01,website,Organic,0,organic,S510,Resistance Bands Set,Sports,22.0,1,0.0,22.0,8.14,13.86,tablet,US,C58982,0
O100149,2025-01-01,website,Organic,0,organic,B410,Moisturizer,Beauty,28.0,1,0.0,28.0,14.56,13.44,mobile,EU,C73115,0
O100150,2025-01-01,social,Instagram,1,click,A220,Hoodie,Apparel,55.0,1,0.0,55.0,30.8,24.2,desktop,US,C41010,0
O100151,2025-01-01,website,Organic,0,organic,E120,Bluetooth Speaker,Electronics,99.0,1,0.0,99.0,40.59,58.41,desktop,EU,C85452,0
O100152,2025-01-01,website,Organic,0,organic,S520,Foam Roller,Sports,18.0,1,0.0,18.0,8.46,9.54,tablet,APAC,C97870,0
O100153,2025-01-01,website,Organic,0,organic,S500,Adjustable Dumbbells,Sports,199.0,3,0.0,597.0,298.5,298.5,desktop,EU,C46179,0
O100154,2025-01-01,website,Organic,0,organic,B400,Vitamin C Serum,Beauty,32.0,2,0.0,64.0,32.64,31.36,tablet,LATAM,C50606,0
O100155,2025-01-01,social,Instagram,1,click,B430,Hair Oil,Beauty,19.0,1,0.0,19.0,9.69,9.31,desktop,LATAM,C12182,0
O100156,2025-01-01,email,Mailchimp,1,click,S500,Adjustable Dumbbells,Sports,199.0,1,0.0,199.0,99.5,99.5,desktop,US,C71631,0
O100157,2025-01-01,social,Instagram,1,view,H310,Weighted Blanket,Home,69.0,1,0.0,69.0,40.02,28.98,desktop,LATAM,C57390,0
O100158,2025-01-01,website,Organic,0,organic,H310,Weighted Blanket,Home,69.0,1,0.0,69.0,40.02,28.98,tablet,APAC,C11456,0
O100159,2025-01-01,social,YouTube,1,click,E130,USB-C Hub,Electronics,39.0,1,0.15,33.15,15.6,17.55,tablet,US,C41237,0
O100160,2025-01-01,social,YouTube,1,view,E130,USB-C Hub,Electronics,39.0,1,0.0,39.0,15.6,23.4,mobile,US,C39179,0
O100161,2025-01-01,website,Organic,0,organic,A200,Athletic T-Shirt,Apparel,25.0,1,0.0,25.0,11.5,13.5,mobile,APAC,C75229,0
O100162,2025-01-01,social,Instagram,1,click,S500,Adjustable Dumbbells,Sports,199.0,1,0.0,199.0,99.5,99.5,desktop,US,C29805,0
O100163,2025-01-01,website,Organic,0,organic,B430,Hair Oil,Beauty,19.0,1,0.0,19.0,9.69,9.31,mobile,EU,C28552,0
O100164,2025-01-01,website,Organic,0,organic,S510,Resistance Bands Set,Sports,22.0,1,0.0,22.0,8.14,13.86,tablet,APAC,C30123,0
O100165,2025-01-01,social,Instagram,1,click,B420,SPF Sunscreen,Beauty,24.0,1,0.0,24.0,12.48,11.52,tablet,EU,C37838,0
O100166,2025-01-01,social,LinkedIn,1,view,B410,Moisturizer,Beauty,28.0,1,0.0,28.0,14.56,13.44,desktop,LATAM,C57760,0
O100167,2025-01-01,social,Instagram,1,click,B410,Moisturizer,Beauty,28.0,1,0.0,28.0,14.56,13.44,desktop,EU,C94726,0
O100168,2025-01-01,social,Instagram,1,view,E120,Bluetooth Speaker,Electronics,99.0,1,0.0,0.0,40.59,-58.41,tablet,APAC,C59295,1
O100169,2025-01-01,social,Instagram,1,click,H320,LED Desk Lamp,Home,35.0,1,0.0,35.0,13.3,21.7,desktop,EU,C38163,0
O100170,2025-01-01,website,Organic,0,organic,H320,LED Desk Lamp,Home,35.0,1,0.0,35.0,13.3,21.7,tablet,EU,C57568,0
O100171,2025-01-01,website,Organic,0,organic,H330,Air Purifier,Home,129.0,1,0.0,129.0,77.4,51.6,desktop,US,C71958,0
O100172,2025-01-01,website,Organic,0,organic,B430,Hair Oil,Beauty,19.0,1,0.05,18.05,9.69,8.36,mobile,EU,C50530,0
O100173,2025-01-01,website,Organic,0,organic,S520,Foam Roller,Sports,18.0,1,0.0,18.0,8.46,9.54,tablet,APAC,C77375,0
O100174,2025-01-01,social,X,1,click,A210,Yoga Pants,Apparel,45.0,1,0.0,45.0,21.15,23.85,mobile,EU,C42527,0
O100175,2025-01-01,website,Organic,0,organic,S520,Foam Roller,Sports,18.0,1,0.0,18.0,8.46,9.54,mobile,EU,C73804,0
O100176,2025-01-01,social,YouTube,1,click,B400,Vitamin C Serum,Beauty,32.0,1,0.0,0.0,16.32,-15.68,mobile,US,C72808,1
O100177,2025-01-01,social,Instagram,1,click,A200,Athletic T-Shirt,Apparel,25.0,1,0.15,21.25,11.5,9.75,mobile,EU,C86234,0
O100178,2025-01-01,website,Organic,1,view,B430,Hair Oil,Beauty,19.0,1,0.0,19.0,9.69,9.31,tablet,LATAM,C14513,0
O100179,2025-01-01,website,Organic,0,organic,A230,Running Shoes,Apparel,95.0,1,0.0,95.0,38.95,56.05,desktop,APAC,C35047,0
O100180,2025-01-01,social,Instagram,1,click,A210,Yoga Pants,Apparel,45.0,1,0.0,45.0,21.15,23.85,tablet,LATAM,C64959,0
O100181,2025-01-01,website,Organic,0,organic,E100,Wireless Earbuds,Electronics,79.0,1,0.0,79.0,46.61,32.39,tablet,EU,C32663,0
O100182,2025-01-01,website,Organic,0,organic,A220,Hoodie,Apparel,55.0,1,0.0,55.0,30.8,24.2,tablet,US,C71182,0
O100183,2025-01-01,website,Organic,0,organic,E110,Smart Watch,Electronics,149.0,1,0.0,149.0,78.97,70.03,tablet,LATAM,C38164,0
O100184,2025-01-01,social,YouTube,1,click,A230,Running Shoes,Apparel,95.0,1,0.0,95.0,38.95,56.05,tablet,EU,C63093,0
O100185,2025-01-01,website,Organic,0,organic,H320,LED Desk Lamp,Home,35.0,1,0.0,35.0,13.3,21.7,mobile,EU,C39724,0
O100186,2025-01-01,website,Organic,0,organic,S500,Adjustable Dumbbells,Sports,199.0,3,0.0,597.0,298.5,298.5,desktop,LATAM,C70510,0
O100187,2025-01-01,social,X,1,click,A210,Yoga Pants,Apparel,45.0,1,0.0,45.0,21.15,23.85,tablet,APAC,C87507,0
